key,address,accountnumber,opendataupdate,housetype,landuse,exemptclass,assessmentyear,currentyeartotalassessment,owneroccupancycode,homesteadcreditqualificationcode,homesteadqualificationdate,yearbuilt,datepurchased,zoning,box2,box4,box5,box6,box8,box7,box9a,box9,box10,totalchange
60590243282,7526 GOLDFINCH CT,60590243282,20230303,TH,Residential (R),Blank,2023,330067,Yes,Approved,2017.12.12,2016,2016.06.08,R10,330067,307100,120000,256000,330067,376000,22966.666666666668,353033.6666666667,376000,68900
60590243283,7524 GOLDFINCH CT,60590243283,20230303,TH,Exempt (E),OTH Disabled Veteran (020),2023,309700,Yes,Approved,2016.08.29,2016,2016.05.24,R10,309700,289200,120000,230700,309700,350700,20500.0,330200.0,350700,61500
60590243284,7522 GOLDFINCH CT,60590243284,20230303,TH,Residential (R),Blank,2023,316733,Yes,No Application,1899.12.30,2016,2021.01.06,R10,316733,297000,120000,236200,316733,356200,19733.333333333332,336466.3333333333,356200,59200
60590243285,7520 GOLDFINCH CT,60590243285,20230303,TH,Residential (R),Blank,2023,317433,Yes,Approved,2016.11.14,2016,2016.06.08,R10,317433,296500,120000,239300,317433,359300,20933.333333333332,338366.3333333333,359300,62800
60590243286,7518 GOLDFINCH CT,60590243286,20230303,TH,Residential (R),Blank,2023,314900,Yes,Approved,2018.04.09,2016,2016.05.24,R10,314900,294100,120000,236500,314900,356500,20800.0,335700.0,356500,62400
60590243287,7516 GOLDFINCH CT,60590243287,20230303,TH,Residential (R),Blank,2023,324367,Yes,Approved,2021.03.09,2016,2020.03.13,R10,324367,301700,120000,249700,324367,369700,22666.666666666668,347033.6666666667,369700,68000
60590243288,7514 GOLDFINCH CT,60590243288,20230303,TH,Residential (R),Blank,2023,328067,Yes,Approved,2017.04.27,2016,2016.08.05,R10,328067,306500,120000,251200,328067,371200,21566.666666666668,349633.6666666667,371200,64700
60590243289,7512 GOLDFINCH CT,60590243289,20230303,TH,Residential (R),Blank,2023,316933,Yes,No Application,1899.12.30,2016,2022.12.29,R10,316933,296000,120000,238800,316933,358800,20933.333333333332,337866.3333333333,358800,62800
60590243290,7510 GOLDFINCH CT,60590243290,20230303,TH,Exempt (E),OTH Disabled Veteran (020),2023,327633,Yes,Approved,2017.09.11,2016,2016.10.06,R10,327633,306100,120000,250700,327633,370700,21533.333333333332,349166.3333333333,370700,64600
60590243291,GOLDFINCH CT,60590243291,20230303,TH,Residential (R),Blank,2023,313167,Yes,Approved,2017.06.26,2016,2016.08.05,R10,313167,292500,120000,234500,313167,354500,20666.666666666668,333833.6666666667,354500,62000
60590243292,7506 GOLDFINCH CT,60590243292,20230303,TH,Residential (R),Blank,2023,322667,Yes,Approved,2017.01.13,2016,2016.10.07,R10,322667,301400,120000,245200,322667,365200,21266.666666666668,343933.6666666667,365200,63800
60590243293,7504 GOLDFINCH CT,60590243293,20230303,TH,Residential (R),Blank,2023,321467,Yes,Approved,2017.06.26,2016,2016.11.15,R10,321467,299000,120000,246400,321467,366400,22466.666666666668,343933.6666666667,366400,67400
60590243294,7502 GOLDFINCH CT,60590243294,20230303,TH,Residential (R),Blank,2023,334000,Yes,No Application,1899.12.30,2016,2019.10.07,R10,334000,312100,120000,257800,334000,377800,21900.0,355900.0,377800,65700
60590243295,633 WARBLERS PERCH WAY,60590243295,20230303,TH,Residential (R),Blank,2023,326633,Yes,Approved,2022.03.09,2016,2021.09.27,R10,326633,306500,120000,246900,326633,366900,20133.333333333332,346766.3333333333,366900,60400
60590243296,635 WARBLERS PERCH WAY,60590243296,20230303,TH,Residential (R),Blank,2023,327400,Yes,No Application,1899.12.30,2016,2021.09.15,R10,327400,302900,120000,256400,327400,376400,24500.0,351900.0,376400,73500
